Category,Label,Text
peace,2,jointly negotiated peace Egypt Israel 1978
peace,2,jointly negotiated peace Egypt Israel 1978
physics,0,discovery cosmic microwave background radiation
medicine,1,discovery restriction enzymes application problems molecular genetics
medicine,1,discovery restriction enzymes application problems molecular genetics
medicine,1,discovery restriction enzymes application problems molecular genetics
physics,0,discovery cosmic microwave background radiation
literature,3,impassioned narrative art roots PolishJewish cultural tradition brings universal human conditions life
economics,5,pioneering research decisionmaking process within economic organizations
physics,0,basic inventions discoveries area lowtemperature physics
chemistry,4,contribution understanding biological energy transfer formulation chemiosmotic theory
chemistry,4,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
economics,5,pioneering research economic development research particular consideration problems developing countries
economics,5,pioneering research economic development research particular consideration problems developing countries
peace,2,work bringing help suffering humanity
chemistry,4,development use boron phosphoruscontaining compounds respectively important reagents organic synthesis
physics,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
physics,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
medicine,1,development computer assisted tomography
medicine,1,development computer assisted tomography
literature,3,poetry background Greek tradition depicts sensuous strength intellectual clearsightedness modern mans struggle freedom creativeness
physics,0,contributions theory unified weak electromagnetic interaction elementary particles including inter alia prediction weak neutral current
chemistry,4,contributions concerning determination base sequences nucleic acids
chemistry,4,contributions concerning determination base sequences nucleic acids
medicine,1,discoveries concerning genetically determined structures cell surface regulate immunological reactions
medicine,1,discoveries concerning genetically determined structures cell surface regulate immunological reactions
economics,5,creation econometric models application analysis economic fluctuations economic policies
chemistry,4,fundamental studies biochemistry nucleic acids particular regard recombinantDNA
peace,2,source inspiration repressed people especially Latin America
chemistry,4,contributions concerning determination base sequences nucleic acids
physics,0,discovery violations fundamental symmetry principles decay neutral Kmesons
physics,0,discovery violations fundamental symmetry principles decay neutral Kmesons
literature,3,uncompromising clearsightedness voices mans exposed condition world severe conflicts
medicine,1,discoveries concerning genetically determined structures cell surface regulate immunological reactions
economics,5,analysis financial markets relations expenditure decisions employment production prices
literature,3,writings marked broad outlook wealth ideas artistic power
medicine,1,discoveries concerning information processing visual system
physics,0,contribution development laser spectroscopy
peace,2,promoting fundamental rights refugees
peace,2,promoting fundamental rights refugees
medicine,1,discoveries concerning functional specialization cerebral hemispheres
chemistry,4,theories developed independently concerning course chemical reactions
chemistry,4,theories developed independently concerning course chemical reactions
medicine,1,discoveries concerning information processing visual system
physics,0,contribution development laser spectroscopy
physics,0,contribution development highresolution electron spectroscopy
economics,5,seminal studies industrial structures functioning markets causes effects public regulation
peace,2,work disarmament nuclear weaponfree zones
literature,3,novels short stories fantastic realistic combined richly composed world imagination reflecting continents life conflicts
medicine,1,discoveries concerning prostaglandins related biologically active substances
chemistry,4,development crystallographic electron microscopy structural elucidation biologically important nucleic acidprotein complexes
medicine,1,discoveries concerning prostaglandins related biologically active substances
physics,0,theory critical phenomena connection phase transitions
peace,2,work disarmament nuclear weaponfree zones
medicine,1,discoveries concerning prostaglandins related biologically active substances
peace,2,nonviolent struggle free trade unions human rights Poland
chemistry,4,work mechanisms electron transfer reactions especially metal complexes
medicine,1,discovery mobile genetic elements
economics,5,incorporated new analytical methods economic theory rigorous reformulation theory general equilibrium
literature,3,novels perspicuity realistic narrative art diversity universality myth illuminate human condition world today
physics,0,theoretical experimental studies nuclear reactions importance formation chemical elements universe
physics,0,theoretical studies physical processes importance structure evolution stars
medicine,1,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
medicine,1,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
medicine,1,theories concerning specificity development control immune system discovery principle production monoclonal antibodies
literature,3,poetry endowed freshness sensuality rich inventiveness provides liberating image indomitable spirit versatility man
peace,2,role unifying leader figure nonviolent campaign resolve problem apartheid South Africa
chemistry,4,development methodology chemical synthesis solid matrix
physics,0,decisive contributions large project led discovery field particles W Z communicators weak interaction
physics,0,decisive contributions large project led discovery field particles W Z communicators weak interaction
economics,5,made fundamental contributions development systems national accounts hence greatly improved basis empirical economic analysis
peace,2,spreading authoritative information creating awareness catastrophic consequences nuclear war
physics,0,discovery quantized Hall effect
medicine,1,discoveries concerning regulation cholesterol metabolism
medicine,1,discoveries concerning regulation cholesterol metabolism
chemistry,4,outstanding achievements development direct methods determination crystal structures
chemistry,4,outstanding achievements development direct methods determination crystal structures
literature,3,novel combines poets painters creativeness deepened awareness time depiction human condition
economics,5,pioneering analyses saving financial markets
chemistry,4,contributions concerning dynamics chemical elementary processes
chemistry,4,contributions concerning dynamics chemical elementary processes
physics,0,design scanning tunneling microscope
physics,0,design scanning tunneling microscope
physics,0,fundamental work electron optics design first electron microscope
chemistry,4,contributions concerning dynamics chemical elementary processes
medicine,1,discoveries growth factors
medicine,1,discoveries growth factors
peace,2,messenger mankind message one peace atonement dignity
literature,3,wide cultural perspective poetic overtones fashions drama existence
economics,5,development contractual constitutional bases theory economic political decisionmaking
chemistry,4,development use molecules structurespecific interactions high selectivity
literature,3,allembracing authorship imbued clarity thought poetic intensity
physics,0,important breakthrough discovery superconductivity ceramic materials
chemistry,4,development use molecules structurespecific interactions high selectivity
physics,0,important breakthrough discovery superconductivity ceramic materials
medicine,1,discovery genetic principle generation antibody diversity
economics,5,contributions theory economic growth
peace,2,work lasting peace Central America
chemistry,4,development use molecules structurespecific interactions high selectivity
peace,2,preventing armed clashes creating conditions negotiations
physics,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
physics,0,neutrino beam method demonstration doublet structure leptons discovery muon neutrino
medicine,1,discoveries important principles drug treatment
chemistry,4,determination threedimensional structure photosynthetic reaction centre
chemistry,4,determination threedimensional structure photosynthetic reaction centre
chemistry,4,determination threedimensional structure photosynthetic reaction centre
literature,3,works rich nuance clearsightedly realistic evocatively ambiguous formed Arabian narrative art applies mankind
medicine,1,discoveries important principles drug treatment
medicine,1,discoveries important principles drug treatment
economics,5,pioneering contributions theory markets efficient utilization resources
chemistry,4,discovery catalytic properties RNA
chemistry,4,discovery catalytic properties RNA
physics,0,development ion trap technique
physics,0,invention separated oscillatory fields method use hydrogen maser atomic clocks
medicine,1,discovery cellular origin retroviral oncogenes
physics,0,development ion trap technique
economics,5,clarification probability theory foundations econometrics analyses simultaneous economic structures
literature,3,rich intensive prose restrained compassion forms challenging vision mans vulnerability
peace,2,advocating peaceful solutions based upon tolerance mutual respect order preserve historical cultural heritage people
medicine,1,discovery cellular origin retroviral oncogenes
literature,3,impassioned writing wide horizons characterized sensuous intelligence humanistic integrity
physics,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
physics,0,pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics
economics,5,pioneering work theory financial economics
economics,5,pioneering work theory financial economics
medicine,1,discoveries concerning organ cell transplantation treatment human disease
peace,2,leading role played radical changes EastWest relations
medicine,1,discoveries concerning organ cell transplantation treatment human disease
economics,5,pioneering work theory financial economics
chemistry,4,development theory methodology organic synthesis
economics,5,discovery clarification significance transaction costs property rights institutional structure functioning economy
literature,3,magnificent epic writing words Alfred Nobel great benefit humanity
medicine,1,discoveries concerning function single ion channels cells
physics,0,discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers
peace,2,nonviolent struggle democracy human rights
medicine,1,discoveries concerning function single ion channels cells
chemistry,4,contributions development methodology high resolution nuclear magnetic resonance NMR spectroscopy
literature,3,poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment
medicine,1,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
chemistry,4,contributions theory electron transfer reactions chemical systems
economics,5,extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour
peace,2,struggle social justice ethnocultural reconciliation based respect rights indigenous peoples
physics,0,invention development particle detectors particular multiwire proportional chamber
medicine,1,discoveries concerning reversible protein phosphorylation biological regulatory mechanism
physics,0,discovery new type pulsar discovery opened new possibilities study gravitation
physics,0,discovery new type pulsar discovery opened new possibilities study gravitation
literature,3,novels characterized visionary force poetic import gives life essential aspect American reality
economics,5,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
chemistry,4,fundamental contributions establishment oligonucleotidebased sitedirected mutagenesis development protein studies
medicine,1,discoveries split genes
medicine,1,discoveries split genes
chemistry,4,invention polymerase chain reaction PCR method
peace,2,work peaceful termination apartheid regime laying foundations new democratic South Africa
economics,5,renewed research economic history applying economic theory quantitative methods order explain economic institutional change
peace,2,work peaceful termination apartheid regime laying foundations new democratic South Africa
medicine,1,discovery Gproteins role proteins signal transduction cells
medicine,1,discovery Gproteins role proteins signal transduction cells
chemistry,4,contribution carbocation chemistry
physics,0,development neutron spectroscopy
physics,0,development neutron diffraction technique
literature,3,poetic force creates imagined world life myth condense form disconcerting picture human predicament today
peace,2,efforts create peace Middle East
peace,2,efforts create peace Middle East
peace,2,efforts create peace Middle East
economics,5,pioneering analysis equilibria theory noncooperative games
economics,5,pioneering analysis equilibria theory noncooperative games
economics,5,pioneering analysis equilibria theory noncooperative games
physics,0,detection neutrino
medicine,1,discoveries concerning genetic control early embryonic development
chemistry,4,work atmospheric chemistry particularly concerning formation decomposition ozone
chemistry,4,work atmospheric chemistry particularly concerning formation decomposition ozone
economics,5,developed applied hypothesis rational expectations thereby transformed macroeconomic analysis deepened understanding economic policy
literature,3,works lyrical beauty ethical depth exalt everyday miracles living past
chemistry,4,work atmospheric chemistry particularly concerning formation decomposition ozone
medicine,1,discoveries concerning genetic control early embryonic development
peace,2,efforts diminish part played nuclear arms international politics longer run eliminate arms
peace,2,efforts diminish part played nuclear arms international politics longer run eliminate arms
physics,0,discovery tau lepton
medicine,1,discoveries concerning genetic control early embryonic development
physics,0,discovery superfluidity helium3
physics,0,discovery superfluidity helium3
physics,0,discovery superfluidity helium3
medicine,1,discoveries concerning specificity cell mediated immune defence
medicine,1,discoveries concerning specificity cell mediated immune defence
chemistry,4,discovery fullerenes
literature,3,poetry ironic precision allows historical biological context come light fragments human reality
peace,2,work towards peaceful solution conflict East Timor
peace,2,work towards peaceful solution conflict East Timor
chemistry,4,discovery fullerenes
economics,5,fundamental contributions economic theory incentives asymmetric information
chemistry,4,discovery fullerenes
economics,5,fundamental contributions economic theory incentives asymmetric information
literature,3,emulates jesters Middle Ages scourging authority upholding dignity downtrodden
chemistry,4,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
chemistry,4,first discovery iontransporting enzyme Na K ATPase
economics,5,new method determine value derivatives
medicine,1,discovery Prions new biological principle infection
physics,0,development methods cool trap atoms laser light
economics,5,new method determine value derivatives
physics,0,development methods cool trap atoms laser light
physics,0,development methods cool trap atoms laser light
peace,2,work banning clearing antipersonnel mines
peace,2,work banning clearing antipersonnel mines
chemistry,4,elucidation enzymatic mechanism underlying synthesis adenosine triphosphate ATP
economics,5,contributions welfare economics
physics,0,discovery new form quantum fluid fractionally charged excitations
literature,3,parables sustained imagination compassion irony continually enables us apprehend elusory reality
physics,0,discovery new form quantum fluid fractionally charged excitations
chemistry,4,development densityfunctional theory
medicine,1,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,1,discoveries concerning nitric oxide signalling molecule cardiovascular system
medicine,1,discoveries concerning nitric oxide signalling molecule cardiovascular system
chemistry,4,development computational methods quantum chemistry
peace,2,efforts find peaceful solution conflict Northern Ireland
peace,2,efforts find peaceful solution conflict Northern Ireland
physics,0,discovery new form quantum fluid fractionally charged excitations
literature,3,whose frolicsome black fables portray forgotten face history
chemistry,4,studies transition states chemical reactions using femtosecond spectroscopy
peace,2,recognition organisations pioneering humanitarian work several continents
physics,0,elucidating quantum structure electroweak interactions physics
physics,0,elucidating quantum structure electroweak interactions physics
economics,5,analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas
medicine,1,discovery proteins intrinsic signals govern transport localization cell
chemistry,4,discovery development conductive polymers
literature,3,œuvre universal validity bitter insights linguistic ingenuity opened new paths Chinese novel drama
economics,5,development theory methods analyzing discrete choice
economics,5,development theory methods analyzing selective samples
chemistry,4,discovery development conductive polymers
chemistry,4,discovery development conductive polymers
medicine,1,discoveries concerning signal transduction nervous system
physics,0,developing semiconductor heterostructures used highspeed optoelectronics
physics,0,developing semiconductor heterostructures used highspeed optoelectronics
peace,2,work democracy human rights South Korea East Asia general peace reconciliation North Korea particular
medicine,1,discoveries concerning signal transduction nervous system
medicine,1,discoveries concerning signal transduction nervous system
physics,0,part invention integrated circuit
economics,5,analyses markets asymmetric information
peace,2,work better organized peaceful world
peace,2,work better organized peaceful world
literature,3,united perceptive narrative incorruptible scrutiny works compel us see presence suppressed histories
economics,5,analyses markets asymmetric information
economics,5,analyses markets asymmetric information
chemistry,4,work chirally catalysed oxidation reactions
chemistry,4,work chirally catalysed oxidation reactions
chemistry,4,work chirally catalysed hydrogenation reactions
chemistry,4,work chirally catalysed hydrogenation reactions
physics,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
physics,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
physics,0,achievement BoseEinstein condensation dilute gases alkali atoms early fundamental studies properties condensates
medicine,1,discoveries key regulators cell cycle
medicine,1,discoveries key regulators cell cycle
medicine,1,discoveries key regulators cell cycle
peace,2,decades untiring effort find peaceful solutions international conflicts advance democracy human rights promote economic social development
literature,3,writing upholds fragile experience individual barbaric arbitrariness history
economics,5,integrated insights psychological research economic science especially concerning human judgment decisionmaking uncertainty
chemistry,4,development nuclear magnetic resonance spectroscopy determining threedimensional structure biological macromolecules solution
chemistry,4,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
chemistry,4,development soft desorption ionisation methods mass spectrometric analyses biological macromolecules
economics,5,established laboratory experiments tool empirical economic analysis especially study alternative market mechanisms
physics,0,pioneering contributions astrophysics particular detection cosmic neutrinos
physics,0,pioneering contributions astrophysics particular detection cosmic neutrinos
medicine,1,discoveries concerning genetic regulation organ development programmed cell death
medicine,1,discoveries concerning genetic regulation organ development programmed cell death
medicine,1,discoveries concerning genetic regulation organ development programmed cell death
physics,0,pioneering contributions astrophysics led discovery cosmic Xray sources
peace,2,efforts democracy human rights focused especially struggle rights women children
economics,5,methods analyzing economic time series common trends cointegration
economics,5,methods analyzing economic time series timevarying volatility ARCH
chemistry,4,structural mechanistic studies ion channels
chemistry,4,discovery water channels
physics,0,pioneering contributions theory superconductors superfluids
physics,0,pioneering contributions theory superconductors superfluids
medicine,1,discoveries concerning magnetic resonance imaging
medicine,1,discoveries concerning magnetic resonance imaging
literature,3,innumerable guises portrays surprising involvement outsider
physics,0,pioneering contributions theory superconductors superfluids
economics,5,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
chemistry,4,discovery ubiquitinmediated protein degradation
economics,5,contributions dynamic macroeconomics time consistency economic policy driving forces behind business cycles
peace,2,contribution sustainable development democracy peace
literature,3,musical flow voices countervoices novels plays extraordinary linguistic zeal reveal absurdity societys clicheacutes subjugating power
chemistry,4,discovery ubiquitinmediated protein degradation
physics,0,discovery asymptotic freedom theory strong interaction
physics,0,discovery asymptotic freedom theory strong interaction
physics,0,discovery asymptotic freedom theory strong interaction
medicine,1,discoveries odorant receptors organization olfactory system
medicine,1,discoveries odorant receptors organization olfactory system
chemistry,4,discovery ubiquitinmediated protein degradation
literature,3,plays uncovers precipice everyday prattle forces entry oppressions closed rooms
economics,5,enhanced understanding conflict cooperation gametheory analysis
peace,2,efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way
peace,2,efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way
chemistry,4,development metathesis method organic synthesis
chemistry,4,development metathesis method organic synthesis
economics,5,enhanced understanding conflict cooperation gametheory analysis
physics,0,contributions development laserbased precision spectroscopy including optical frequency comb technique
physics,0,contributions development laserbased precision spectroscopy including optical frequency comb technique
physics,0,contribution quantum theory optical coherence
medicine,1,discovery bacterium iHelicobacter pylorii role gastritis peptic ulcer disease
medicine,1,discovery bacterium iHelicobacter pylorii role gastritis peptic ulcer disease
chemistry,4,development metathesis method organic synthesis
peace,2,efforts create economic social development
peace,2,efforts create economic social development
literature,3,quest melancholic soul native city discovered new symbols clash interlacing cultures
economics,5,analysis intertemporal tradeoffs macroeconomic policy
chemistry,4,studies molecular basis eukaryotic transcription
physics,0,discovery blackbody form anisotropy cosmic microwave background radiation
medicine,1,discovery RNA interference gene silencing doublestranded RNA
medicine,1,discovery RNA interference gene silencing doublestranded RNA
physics,0,discovery blackbody form anisotropy cosmic microwave background radiation
economics,5,laid foundations mechanism design theory
economics,5,laid foundations mechanism design theory
economics,5,laid foundations mechanism design theory
peace,2,efforts build disseminate greater knowledge manmade climate change lay foundations measures needed counteract change
peace,2,efforts build disseminate greater knowledge manmade climate change lay foundations measures needed counteract change
chemistry,4,studies chemical processes solid surfaces
literature,3,epicist female experience scepticism fire visionary power subjected divided civilisation scrutiny
physics,0,discovery Giant Magnetoresistance
medicine,1,discoveries principles introducing specific gene modifications mice use embryonic stem cells
medicine,1,discoveries principles introducing specific gene modifications mice use embryonic stem cells
medicine,1,discoveries principles introducing specific gene modifications mice use embryonic stem cells
physics,0,discovery Giant Magnetoresistance
peace,2,important efforts several continents three decades resolve international conflicts
literature,3,author new departures poetic adventure sensual ecstasy explorer humanity beyond reigning civilization
chemistry,4,discovery development green fluorescent protein GFP
chemistry,4,discovery development green fluorescent protein GFP
chemistry,4,discovery development green fluorescent protein GFP
physics,0,discovery origin broken symmetry predicts existence least three families quarks nature
economics,5,analysis trade patterns location economic activity
physics,0,discovery mechanism spontaneous broken symmetry subatomic physics
medicine,1,discovery human immunodeficiency virus
medicine,1,discovery human immunodeficiency virus
medicine,1,discovery human papilloma viruses causing cervical cancer
physics,0,discovery origin broken symmetry predicts existence least three families quarks nature
economics,5,analysis economic governance especially boundaries firm
economics,5,analysis economic governance especially commons
peace,2,extraordinary efforts strengthen international diplomacy cooperation peoples
literature,3,concentration poetry frankness prose depicts landscape dispossessed
chemistry,4,studies structure function ribosome
chemistry,4,studies structure function ribosome
chemistry,4,studies structure function ribosome
physics,0,invention imaging semiconductor circuit CCD sensor
physics,0,groundbreaking achievements concerning transmission light fibers optical communication
medicine,1,discovery chromosomes protected telomeres enzyme telomerase
medicine,1,discovery chromosomes protected telomeres enzyme telomerase
medicine,1,discovery chromosomes protected telomeres enzyme telomerase
physics,0,invention imaging semiconductor circuit CCD sensor
economics,5,analysis markets search frictions
literature,3,cartography structures power trenchant images individuals resistance revolt defeat
economics,5,analysis markets search frictions
peace,2,long nonviolent struggle fundamental human rights China
chemistry,4,palladiumcatalyzed cross couplings organic synthesis
economics,5,analysis markets search frictions
chemistry,4,palladiumcatalyzed cross couplings organic synthesis
physics,0,groundbreaking experiments regarding twodimensional material graphene
physics,0,groundbreaking experiments regarding twodimensional material graphene
medicine,1,development vitro fertilization
chemistry,4,palladiumcatalyzed cross couplings organic synthesis
economics,5,empirical research cause effect macroeconomy
peace,2,nonviolent struggle safety women womens rights full participation peacebuilding work
peace,2,nonviolent struggle safety women womens rights full participation peacebuilding work
peace,2,nonviolent struggle safety women womens rights full participation peacebuilding work
literature,3,condensed translucent images gives us fresh access reality
chemistry,4,discovery quasicrystals
economics,5,empirical research cause effect macroeconomy
physics,0,discovery accelerating expansion Universe observations distant supernovae
physics,0,discovery accelerating expansion Universe observations distant supernovae
medicine,1,discovery dendritic cell role adaptive immunity
medicine,1,discoveries concerning activation innate immunity
medicine,1,discoveries concerning activation innate immunity
physics,0,discovery accelerating expansion Universe observations distant supernovae
economics,5,theory stable allocations practice market design
economics,5,theory stable allocations practice market design
peace,2,six decades contributed advancement peace reconciliation democracy human rights Europe
literature,3,hallucinatory realism merges folk tales history contemporary
chemistry,4,studies Gproteincoupled receptors
chemistry,4,studies Gproteincoupled receptors
physics,0,groundbreaking experimental methods enable measuring manipulation individual quantum systems
medicine,1,discovery mature cells reprogrammed become pluripotent
medicine,1,discovery mature cells reprogrammed become pluripotent
physics,0,groundbreaking experimental methods enable measuring manipulation individual quantum systems
economics,5,empirical analysis asset prices
chemistry,4,development multiscale models complex chemical systems
economics,5,empirical analysis asset prices
economics,5,empirical analysis asset prices
peace,2,extensive efforts eliminate chemical weapons
literature,3,master contemporary short story
chemistry,4,development multiscale models complex chemical systems
chemistry,4,development multiscale models complex chemical systems
physics,0,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle ATLAS CMS experiments CERNs Large Hadron Collider
physics,0,theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle ATLAS CMS experiments CERNs Large Hadron Collider
medicine,1,discoveries machinery regulating vesicle traffic major transport system cells
medicine,1,discoveries machinery regulating vesicle traffic major transport system cells
medicine,1,discoveries machinery regulating vesicle traffic major transport system cells
economics,5,analysis market power regulation
peace,2,struggle suppression children young people right children education
literature,3,art memory evoked ungraspable human destinies uncovered lifeworld occupation
chemistry,4,development superresolved fluorescence microscopy
chemistry,4,development superresolved fluorescence microscopy
chemistry,4,development superresolved fluorescence microscopy
peace,2,struggle suppression children young people right children education
physics,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
physics,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
medicine,1,discoveries cells constitute positioning system brain
medicine,1,discoveries cells constitute positioning system brain
medicine,1,discoveries cells constitute positioning system brain
physics,0,invention efficient blue lightemitting diodes enabled bright energysaving white light sources
economics,5,analysis consumption poverty welfare
peace,2,decisive contribution building pluralistic democracy Tunisia wake Jasmine Revolution 2011
literature,3,polyphonic writings monument suffering courage time
chemistry,4,mechanistic studies DNA repair
chemistry,4,mechanistic studies DNA repair
chemistry,4,mechanistic studies DNA repair
physics,0,discovery neutrino oscillations shows neutrinos mass
medicine,1,discoveries concerning novel therapy Malaria
medicine,1,discoveries concerning novel therapy infections caused roundworm parasites
medicine,1,discoveries concerning novel therapy infections caused roundworm parasites
physics,0,discovery neutrino oscillations shows neutrinos mass
economics,5,contributions contract theory
chemistry,4,design synthesis molecular machines
economics,5,contributions contract theory
peace,2,resolute efforts bring countrys 50yearlong civil war end
chemistry,4,design synthesis molecular machines
literature,3,created new poetic expressions within great American song tradition
physics,0,theoretical discoveries topological phase transitions topological phases matter
physics,0,theoretical discoveries topological phase transitions topological phases matter
physics,0,theoretical discoveries topological phase transitions topological phases matter
medicine,1,discoveries mechanisms autophagy
chemistry,4,design synthesis molecular machines
peace,2,work draw attention catastrophic humanitarian consequences use nuclear weapons groundbreaking efforts achieve treatybased prohibition weapons
literature,3,novels great emotional force uncovered abyss beneath illusory sense connection world
chemistry,4,developing cryoelectron microscopy highresolution structure determination biomolecules solution
chemistry,4,developing cryoelectron microscopy highresolution structure determination biomolecules solution
chemistry,4,developing cryoelectron microscopy highresolution structure determination biomolecules solution
physics,0,decisive contributions LIGO detector observation gravitational waves
economics,5,contributions behavioural economics
physics,0,decisive contributions LIGO detector observation gravitational waves
medicine,1,discoveries molecular mechanisms controlling circadian rhythm
medicine,1,discoveries molecular mechanisms controlling circadian rhythm
medicine,1,discoveries molecular mechanisms controlling circadian rhythm
physics,0,decisive contributions LIGO detector observation gravitational waves
literature,3,narrative imagination encyclopedic passion represents crossing boundaries form life
economics,5,integrating technological innovations longrun macroeconomic analysis
economics,5,integrating climate change longrun macroeconomic analysis
peace,2,efforts end use sexual violence weapon war armed conflict
peace,2,efforts end use sexual violence weapon war armed conflict
chemistry,4,phage display peptides antibodies
chemistry,4,phage display peptides antibodies
chemistry,4,directed evolution enzymes
physics,0,method generating highintensity ultrashort optical pulses
physics,0,optical tweezers application biological systems
medicine,1,discovery cancer therapy inhibition negative immune regulation
medicine,1,discovery cancer therapy inhibition negative immune regulation
physics,0,method generating highintensity ultrashort optical pulses
chemistry,4,development lithiumion batteries
economics,5,experimental approach alleviating global poverty
economics,5,experimental approach alleviating global poverty
literature,3,influential work linguistic ingenuity explored periphery specificity human experience
economics,5,experimental approach alleviating global poverty
chemistry,4,development lithiumion batteries
peace,2,efforts achieve peace international cooperation particular decisive initiative resolve border conflict neighbouring Eritrea
physics,0,discovery exoplanet orbiting solartype star
physics,0,discovery exoplanet orbiting solartype star
physics,0,theoretical discoveries physical cosmology
medicine,1,discoveries cells sense adapt oxygen availability
medicine,1,discoveries cells sense adapt oxygen availability
medicine,1,discoveries cells sense adapt oxygen availability
chemistry,4,development lithiumion batteries
economics,5,improvements auction theory inventions new auction formats
economics,5,improvements auction theory inventions new auction formats
peace,2,efforts combat hunger contribution bettering conditions peace conflictaffected areas acting driving force efforts prevent use hunger weapon war conflict
literature,3,unmistakable poetic voice austere beauty makes individual existence universal
chemistry,4,development method genome editing
chemistry,4,development method genome editing
physics,0,discovery supermassive compact object centre galaxy
physics,0,discovery black hole formation robust prediction general theory relativity
medicine,1,discovery Hepatitis C virus
medicine,1,discovery Hepatitis C virus
medicine,1,discovery Hepatitis C virus
physics,0,discovery supermassive compact object centre galaxy
literature,3,uncompromising compassionate penetration effects colonialism fate refugee gulf cultures continents
economics,5,methodological contributions analysis causal relationships
economics,5,empirical contributions labour economics
peace,2,efforts safeguard freedom expression precondition democracy lasting peace
economics,5,methodological contributions analysis causal relationships
peace,2,efforts safeguard freedom expression precondition democracy lasting peace
chemistry,4,development asymmetric organocatalysis
physics,0,physical modelling Earth’s climate quantifying variability reliably predicting global warming
physics,0,discovery interplay disorder fluctuations physical systems atomic planetary scales
physics,0,physical modelling Earth’s climate quantifying variability reliably predicting global warming
medicine,1,discoveries receptors temperature touch
medicine,1,discoveries receptors temperature touch
chemistry,4,development asymmetric organocatalysis
economics,5,research banks financial crises
peace,2,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
peace,2,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
peace,2,Peace Prize laureates represent civil society home countries many years promoted right criticise power protect fundamental rights citizens made outstanding effort document war crimes human right abuses abuse power Together demonstrate significance civil society peace democracy
literature,3,courage clinical acuity uncovers roots estrangements collective restraints personal memory
chemistry,4,development click chemistry bioorthogonal chemistry
physics,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
physics,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
physics,0,experiments entangled photons establishing violation Bell inequalities pioneering quantum information science
medicine,1,discoveries concerning genomes extinct hominins human evolution
chemistry,4,development click chemistry bioorthogonal chemistry
chemistry,4,development click chemistry bioorthogonal chemistry
economics,5,research banks financial crises
chemistry,4,development click chemistry bioorthogonal chemistry
economics,5,research banks financial crises
